Ruang 2,-1207:32:48,-95,-70
Ruang 2,-1207:32:49,-93,-69
Ruang 2,-1207:32:50,-90,-69
Ruang 2,-1207:32:51,-94,-69
Ruang 2,-1207:32:52,-120,-73
Ruang 2,-1207:32:53,-89,-73
Ruang 2,-1207:32:53,-95,-69
Ruang 2,-1207:32:55,-92,-69
Ruang 2,-1207:32:55,-92,-69
Ruang 2,-1207:32:57,-95,-120
Ruang 2,-1207:32:58,-120,-69
Ruang 2,-1207:32:59,-93,-70
Ruang 2,-1207:33:00,-120,-74
Ruang 2,-1207:33:03,-120,-69
Ruang 2,-1207:33:04,-92,-69
Ruang 2,-1207:33:05,-91,-73
Ruang 2,-1207:33:05,-91,-69
Ruang 2,-1207:33:07,-90,-120
Ruang 2,-1207:33:08,-91,-69
Ruang 2,-1207:33:09,-90,-68
Ruang 2,-1207:33:10,-120,-74
Ruang 2,-1207:33:11,-91,-120
Ruang 2,-1207:33:12,-92,-69
Ruang 2,-1207:33:12,-90,-73
Ruang 2,-1207:33:14,-120,-69
Ruang 2,-1207:33:14,-91,-74
Ruang 2,-1207:33:16,-91,-120
Ruang 2,-1207:33:17,-91,-70
Ruang 2,-1207:33:19,-120,-69
Ruang 2,-1207:33:20,-90,-120
Ruang 2,-1207:33:22,-91,-120
Ruang 2,-1207:33:23,-94,-74
Ruang 2,-1207:33:24,-92,-69
Ruang 2,-1207:33:25,-92,-74
Ruang 2,-1207:33:26,-91,-69
Ruang 2,-1207:33:28,-120,-69
Ruang 2,-1207:33:28,-90,-69
Ruang 2,-1207:33:29,-89,-68
Ruang 2,-1207:33:30,-91,-73
Ruang 2,-1207:33:31,-120,-70
Ruang 2,-1207:33:32,-90,-73
Ruang 2,-1207:33:33,-90,-120
Ruang 2,-1207:33:34,-90,-69
Ruang 2,-1207:33:35,-91,-74
Ruang 2,-1207:33:36,-93,-70
Ruang 2,-1207:33:38,-120,-69
Ruang 2,-1207:33:39,-91,-73
Ruang 2,-1207:33:41,-120,-69
Ruang 2,-1207:33:43,-91,-69
Ruang 2,-1207:33:44,-92,-69
Ruang 2,-1207:33:44,-92,-69
Ruang 2,-1207:33:45,-92,-68
Ruang 2,-1207:33:46,-90,-69
Ruang 2,-1207:33:47,-120,-69
Ruang 2,-1207:33:48,-98,-74
Ruang 2,-1207:33:50,-86,-69
Ruang 2,-1207:33:50,-90,-72
Ruang 2,-1207:33:51,-92,-65
Ruang 2,-1207:33:51,-93,-67
Ruang 2,-1207:33:52,-93,-66
Ruang 2,-1207:33:52,-87,-70
Ruang 2,-1207:33:53,-95,-65
Ruang 2,-1207:33:54,-93,-65
Ruang 2,-1207:33:55,-91,-66
Ruang 2,-1207:33:56,-92,-120
Ruang 2,-1207:33:56,-93,-69
Ruang 2,-1207:33:57,-94,-67
Ruang 2,-1207:33:58,-94,-69
Ruang 2,-1207:33:59,-120,-67
Ruang 2,-1207:34:00,-93,-69
Ruang 2,-1207:34:01,-93,-66
Ruang 2,-1207:34:01,-91,-69
Ruang 2,-1207:34:11,-120,-66
Ruang 2,-1207:34:15,-120,-66
